"Group","M171T3","M172T4","M143T4","M250T4","M274T7","M191T4","M97T6","M144T4","M171T4","M199T4","M73T4","M249T4","M234T3","M133T4","M219T9","M200T4","M71T2","M137T4","M117T2","M100T2","M92T3","M91T4","M378T32","M115T3","M145T4","M197T4","M135T2","M105T4","M94T4","M85T2","M125T2","M239T4","M122T4","M157T3","M192T4","M165T2","M170T4","M141T3","M121T4","M124T4","M221T5","M212T4","M173T4","M83T4","M185T3","M227T2","M259T4","M205T4","M155T4","M193T5","M206T3","M213T105","M149T3","M146T4","M153T124","M93T3","M88T4","M235T4","M151T3","M138T4","M175T4","M75T4","M90T4","M130T3","M194T4","M129T2","M167T4","M169T4","M168T5","M116T4","M233T4","M164T4","M160T4","M142T68","M102T4","M225T107","M158T4","M103T4","M148T3","M101T4","M99T6","M292T48","M81T4","M118T25","M270T107","M147T4","M108T3"
"sample1",588830.048223434,623107.818624468,6734495.62223892,353396.181327618,188889.591963644,3138750.92123107,1080017.79845225,569732.767806326,6152492.42802863,2041836.25157067,429327.793063274,310424.834567746,313190.014018875,274340.118820985,0,227547.679893672,302502.122540476,419576.771200311,297972.241904266,264272.72086892,103385.059343204,2217002.07350457,14017.0837224935,4460087.2086622,1275136.84519004,248956.821273366,249450.408592076,314450.421255598,639981.922332195,1699649.54499878,103189.567992006,881515.901854253,678593.688322488,6336142.46315488,270093.748034476,461415.857685615,101713.055001439,370972.1062577,8819903.11218716,882942.015304531,50100.9055395496,519122.202410223,225022.398771095,161645.229720258,552332.443518172,738506.885913725,31178.9140708632,1358764.04013376,390399.247922317,15525.8305653639,192087.178615994,26438.3197327423,465273.177378107,85637.3642492656,15295.4842938147,0,182479.968256201,1262791.71333567,78963.426104632,568642.067586527,0,0,0,0,0,1187966.41551447,771128.386230129,198479.078610386,44623.446527471,272107.987922488,74388.1469022131,325728.154490686,305196.983236148,12637.8377208501,429649.050524246,44941.9886874966,109427.657446933,172689.567168463,40835.6988051975,1308695.07672122,395273.537805224,11543.7643609974,1624421.88712065,87097.9819150104,12050.1896037092,187626.721945907,0
"sample1",150953.813893464,657235.56556821,6661097.54856839,364358.494827484,196054.730077433,2394534.48726385,832265.659534946,390775.395012527,6131117.31029831,2362220.47610488,408793.982952155,229448.960956948,301013.455452378,228594.007663685,6345.968228008,210841.187328005,240359.671305904,609682.604725157,182592.882787281,279591.994438627,132029.162516375,2590020.25301979,90583.2247946314,4523997.79099568,1055550.65095222,250571.369189895,241784.726640627,124322.867303906,757443.081571988,1081692.45063249,202500.711441979,295393.042682239,826112.97218029,6680360.14205154,234087.983926627,536295.885562401,96179.2641753832,226319.10089948,10177857.7782883,1142376.43771445,38812.7746663523,512400.876932711,240887.303984547,137173.469909006,603275.229148231,811512.631453835,46420.6199596924,1050066.60275198,328223.18806455,36616.5090058814,83522.1426860836,199428.866012793,390201.629058249,83514.1628335562,14767.2253194973,13022652.2675825,179208.158596304,1178584.25713445,891745.290114542,501224.354669605,142235.881946386,66747.2784764474,0,0,94702.9516572975,834727.669385553,942480.283672125,397352.131519857,37498.8721056684,307493.479232166,1777356.81107867,457118.202496858,424978.252010027,39083.370436463,395986.872995041,38845.2571453531,622169.993805887,531493.923425102,81145.7319771731,2393654.03191972,326530.619587731,2742.63975710375,2468808.15146152,89499.3704054269,14289.4678045213,218254.414063123,48363.2386973792
"sample2",166307.520028957,620392.65614133,7071082.38047756,344334.386587251,185606.316560955,3045523.95176029,836313.354939144,348287.431626364,5870013.98506163,1494445.30650783,441812.10343617,119606.812218485,0,204228.645394405,0,367278.853925296,232846.058036644,600793.810669997,218775.219199587,183417.156767275,181169.676842374,2559094.70389372,61123.3851411127,4261530.93672636,1310538.40597534,309636.396572931,231932.509743115,76383.7337205043,661940.536956942,1097128.61881315,131023.923686067,147652.755251488,747873.985239559,6534060.60109624,0,480036.955885177,97801.5076766584,191912.753446972,9714968.30341569,1066788.66756591,35867.1076995055,497793.466120134,235576.177947137,127606.43735308,349111.209512363,765873.426116733,26964.2748381753,896464.789249577,304052.332018264,22855.4287148592,66132.2353118609,186907.96087577,407997.376513305,85623.8993579914,32146.0438386536,0,156730.633003113,1443062.40299924,119515.748212753,725986.690331366,0,0,101103.012575891,0,0,791173.618373685,862832.447694302,423640.537776474,192098.938343542,292252.654025457,1090315.76158973,427477.119402466,269238.292870116,62460.937314412,94647.9526203939,44322.6672443366,119221.298363494,523572.285183392,82749.610590432,2199911.18084844,289810.439568884,9973.68954364397,2476975.30178553,81471.6340131214,7833.32288162783,130299.303093787,0
"sample2",439537.961912497,698534.731752275,6595354.78473788,299408.407362149,14762.9989818359,2762155.84288749,1021334.66767529,642734.393528686,5882488.40671598,2100672.86817954,450405.631277432,273470.366860741,350720.222206016,198555.617734053,0,424562.339804195,255977.158857687,526722.250385373,315709.952584275,206859.034258154,98529.1609849907,2243279.69273713,79561.7542073475,4170401.26616588,1184375.94928072,256600.117330229,255897.115776958,177851.101100942,658388.932414606,1875295.11247058,138455.728250214,257007.751186008,734888.857964549,6053745.16002384,250328.953065602,501109.439755346,96658.2840900102,299975.191994252,9270341.29054678,1050553.52794747,41146.9297417306,514462.150851652,152958.624840295,128652.862067857,407579.967032372,947215.769671828,90301.1416725048,774869.68252977,15461.6706654785,41322.3239607556,54929.3011729312,197660.018012263,512185.752893561,70761.1938534314,15808.4837058594,0,155890.5748658,14277.35866875,135284.6310476,761404.858102257,0,0,86065.4323470027,59754.9263066324,68767.4545693535,916918.564642336,770467.063126541,249277.596839778,177034.150316857,274039.967228549,2010047.93766277,416410.586320463,269214.535316255,63888.8164370268,97368.7952041343,47055.3685295571,467263.963223553,480467.322941455,87843.8676400532,2141827.12142389,276055.518227853,0,2130587.78006056,77358.1723093934,12740.211710644,224007.616643588,52061.2144747775
"sample2",409393.211287875,717745.910015402,6996187.35118866,351965.201296654,186262.042894044,3320995.95883094,782256.207468552,621170.707612973,6611895.90483128,1691219.85609891,534090.601392978,256982.765537127,198851.110725653,311932.662363787,0,376313.1128256,242263.506967953,587056.81341145,187320.825216381,301222.482857262,100793.721801306,2546203.18864722,73013.6145694992,4774497.73351438,1142431.56120845,277044.573786069,383388.132838803,124510.087558604,643823.217605129,1057974.22598132,185244.697034186,274319.604428989,28632.1352396635,7084226.69741478,0,538828.827069626,106177.296087723,261362.919216187,10021984.7371822,929925.864731648,29255.3102601446,545397.571691614,169195.889398469,150498.085730106,550207.998759941,870565.039749196,90706.3570447301,955972.498428743,476643.865354366,23720.2787929429,57514.7234042554,207749.161803782,297509.924691231,107858.448594591,10478.9245047737,0,204626.294749937,1432770.54291465,581002.693257412,658566.324643774,264128.306374272,78236.0674086268,116258.732011678,82263.0940922119,0,824777.963674329,907847.752986474,252052.128656485,203786.678272599,251413.169254235,114993.338827353,391598.25647201,303233.730230968,49407.4017873875,400051.855822005,30456.3544327446,575963.861947064,173963.853043021,77990.7570137628,1878671.46973326,297124.939067948,5033.00881070062,2491971.54817362,106002.494259426,3672.07113540499,114839.270481757,0
"sample2",493235.038993153,746034.742336599,7677697.91152566,357416.350025927,193782.049147549,2775060.42942301,787017.819694742,639079.05074084,6846547.39282654,2404218.78069882,603402.024578583,233845.042475924,199153.995838633,207691.690096594,0,286383.318476593,258157.553788209,614083.383465862,229960.86750904,307182.841124649,106071.109401617,2620302.84871158,83357.2491163649,5040891.68308379,1155812.78607738,313084.433975655,253370.619109517,179525.333429218,611321.132947021,1167564.03156869,113305.114679778,872690.075274145,842634.618520368,7321826.96235066,305602.165686137,531349.266050713,102374.288095427,372754.748876157,10908504.8926597,1698492.98415269,30778.6509640293,671084.287337464,170197.725991346,140855.015464365,435787.734140225,841375.882469277,56622.4749168912,1007862.09217523,530282.104718766,10259.6912524219,73921.2559184726,192092.906630714,636463.918038875,75965.5368333284,17646.6171442419,0,195075.099184547,1201487.73111297,120903.158934648,717483.701459292,0,93266.1847224988,82965.5359482899,0,0,953039.520772127,772727.300217837,280004.960441483,218938.872198982,339590.880873275,88339.8141324514,330113.39529858,236958.476929548,28512.5783997774,331493.618608102,35153.1871057784,538891.628970491,479322.03291386,83303.730012091,2047992.54623612,289389.258740543,0,2419862.88812892,103668.393897789,26193.0888747312,178219.63287497,0
"sample3",376967.530226953,693582.602838908,6876701.03263471,336613.428770374,207751.79959479,3376754.61255772,869797.978582938,564473.29210627,6199034.85945523,2240886.71936394,544610.624845896,313177.726731568,0,296777.17427318,0,284779.371138386,196022.009315113,508740.816163626,311740.177474435,179609.690306478,90567.6952731232,2540687.24967133,88963.5809331417,4659679.7378703,1123809.94868341,268576.13985878,345991.574402625,106256.486006563,628165.342756062,1666884.82896584,153153.512027865,272003.554408836,743662.080960787,6916472.88362947,278712.408131953,522180.402403955,100933.811826853,217197.864207388,694932.786158329,761682.078800001,35095.0789181105,565243.170893841,235592.785347735,147247.037149535,387931.275592203,757268.475002313,230149.561998631,1481613.74684616,388492.094387996,26429.8799108006,155715.055338078,204375.704900031,106317.067636977,80729.6536973848,17872.7918324439,0,192263.609691892,1218701.88053276,103193.500205668,548081.358717208,217492.581371192,0,71289.8409580726,0,0,759010.513499357,0,223753.798901031,190130.467783119,301207.629278336,1307334.56797945,399418.280064915,315837.396908673,33281.1052960384,99309.3966049923,27656.7966783947,129202.649728728,434275.473920552,90014.2379014688,1730555.9532723,287236.368477926,3410.1240244545,2346660.54979725,91021.4529732689,11088.4332979973,118000.994667622,0
"sample3",445011.770402857,716916.491372116,6522221.50947757,327356.076688349,177039.167004831,2879796.21160342,1091452.62091162,592886.334232797,5846874.82299665,2342248.46048444,492016.578203178,288539.911444634,0,245936.460558771,0,185183.715308575,252945.694003337,544314.338942554,230872.086110536,210022.778373683,104236.51065945,2338249.94822389,33406.5550340773,4353263.19121987,1170744.85874002,264366.212019857,257387.595003174,109888.172643424,666517.818628825,1169409.8480775,110562.631710306,223916.84424766,545775.524621017,6223487.12083888,252015.437226647,501093.682055947,87691.8956468902,201129.198294878,9108464.96644615,219339.516510073,42999.5464953997,499358.300626827,181132.09323313,129807.301859566,658827.849824056,815364.475557297,16912.933179128,968429.463463436,327897.761422936,28174.4604995052,69688.7598965317,184512.95608453,420055.980510168,86697.0418528132,17588.3336723633,0,215442.375371439,1280539.54357329,859851.837826807,694701.584366647,0,0,78207.8270708365,0,0,842236.436172851,698164.107427284,617619.42109958,198577.007886846,320187.160756115,2162302.86445127,349699.840391831,251135.185697861,33743.1654149299,399749.996975931,46155.8872715576,627081.961829835,419135.27986506,83307.6505269765,1770248.78179131,321079.85183597,13122.8535767188,1989936.62321837,81682.3334942628,13225.2353742905,152114.146932092,0
"sample3",282277.180604121,609791.323461734,6321182.74001791,276016.830198611,206932.07322961,2783723.58919469,757595.172803423,615225.129622656,5744789.79328558,2067125.10925745,524449.515289783,280495.922516069,250440.529171796,235167.375472222,0,227604.2792,225612.737626389,474134.880659304,213527.979190278,180461.764981944,110065.243525144,2128413.06089748,15046.0227368896,4133963.88356394,1245113.46072781,259471.155811771,277024.48110133,141951.752050865,674260.462905147,1366676.14640909,114677.391389793,967419.960591244,647690.945310487,5952236.14665829,305701.847441584,597394.297690001,115163.355280762,208245.445209073,8449016.41259414,862108.783918197,52728.1859339735,501515.51531529,219872.606752832,135911.895225434,634745.530680908,16209.3961408966,16299.6228356001,813423.117205529,439560.086607813,39120.526904794,67341.3944083374,203864.634011817,423102.96961617,85489.1338644153,6639.14036145886,0,170761.286178927,1296961.71479055,729622.625624961,578962.089466875,41982.8035983179,67500.9080601791,0,0,0,1074402.95346572,0,283613.517187651,196143.810273441,252665.729853308,1239714.83760718,251939.060832166,240776.245126858,29877.5106092882,372440.755355518,40617.009438189,112164.224425694,445511.978219928,82245.994160946,1549971.75074373,301822.417191011,11086.8810922168,1971832.79754203,98711.2931084881,13117.1804426028,219534.999951788,41123.448734264
"sample3",195065.956328753,578458.29820552,6144231.27194512,323514.696096622,191413.055559326,2805252.2418957,922771.188907541,453195.48849879,5840414.98955137,2088680.76423925,501396.041603544,246897.883717685,304203.605336643,243238.043077353,0,247974.531325896,269705.729527583,466132.202408826,198008.380080659,249355.522457115,103541.932165681,2165276.17524082,68946.9441272318,4159388.31080428,1167445.92740025,264550.605253564,269761.140542506,190566.285248063,646414.257124393,919068.269871215,98435.1491396737,227101.559240478,687701.587836492,6110008.72057835,0,606618.49256285,66042.70961547,247857.093389576,8624740.44236098,1010175.98401191,31761.2265450763,554376.632036206,218928.017591138,101129.068690971,559080.144679768,612379.05853424,11460.5838370861,1298054.18105692,380149.55225788,27835.9108874359,137345.984852561,183274.266080642,387497.162496512,80272.434976263,10569.8790981386,0,195576.371917639,1233809.20760942,974082.701794914,667102.38835667,0,112049.961208633,74793.4607316724,0,0,856926.066741191,757705.243572096,303864.034611971,187146.756974456,299107.101390269,1843738.75428881,343665.131640013,234267.555075494,13975.6823857422,344130.988721733,18182.0649950851,591000.771496695,404526.575483057,54113.8170310874,1352788.54402158,310739.219302887,2478.63577358751,2381771.25145766,70396.1219554963,15354.4429613605,240844.477120384,0
