"Metlin_ID","blankclean1_140226061346","blankclean1_140226063807","blankclean1_140227222715","blankclean1_140227225134","pooled_10","pooled_7","pooled_8","pooled_9","sample1_1","sample1_2","sample1_3","sample1_4","sample2_1","sample2_2","sample2_3","sample2_4","sample3_1","sample3_2","sample3_3","sample3_4"
"M170T4","118873.334068424","113827.081038303","119647.550458085","113909.109109528","107348.05141129","46420.1552465518","11065.3261024152","101713.055001439","96179.2641753832","97801.5076766584","96658.2840900102","106177.296087723","102374.288095427","100933.811826853","87691.8956468902","115163.355280762","93486.0029330288","66042.70961547","89595.7792874523","111372.077916774"
"M141T3","202300.981493445","214878.817529306","11151.240788543","177253.901835749","193207.173069484","260030.894733746","226733.278797967","370972.1062577","226319.10089948","191912.753446972","299975.191994252","261362.919216187","372754.748876157","217197.864207388","201129.198294878","208245.445209073","366254.510880882","247857.093389576","211666.537463326","373313.03591324"
"M121T4","6880773.31449659","7357501.64893833","9206638.35921875","309422.252775019","9537490.44340679","11663119.9502115","9992954.63369089","8819903.11218716","10177857.7782883","9714968.30341569","9270341.29054678","10021984.7371822","10908504.8926597","694932.786158329","9108464.96644615","8449016.41259414","10476899.1912293","8624740.44236098","8513641.6356605","10939587.1506172"
"M124T4","305925.760690989","342941.061517319","535612.155054123","363330.733156928","1231735.88657209","226744.293146511","988994.946621727","882942.015304531","1142376.43771445","1066788.66756591","1050553.52794747","929925.864731648","1698492.98415269","761682.078800001","219339.516510073","862108.783918197","155437.980242402","1010175.98401191","881918.862662307","1459153.10675273"
"M221T5","20796.7187687911","31553.1288182552","23580.4698198407","22290.8678022313","29016.4167298391","25151.292829031","40314.2148485887","50100.9055395496","38812.7746663523","35867.1076995055","41146.9297417306","29255.3102601446","30778.6509640293","35095.0789181105","42999.5464953997","52728.1859339735","46579.0041782123","31761.2265450763","191791.318244436","37983.6008860813"
"M212T4","357827.464692311","377946.056378011","18598.7497262072","336062.583813031","385380.205716793","454663.177534421","420196.451588822","519122.202410223","512400.876932711","497793.466120134","514462.150851652","545397.571691614","671084.287337464","565243.170893841","499358.300626827","501515.51531529","560669.012304719","554376.632036206","409833.568408895","420529.257776216"
"M173T4","150735.719200535","226439.355243108","121426.153625532","161709.410485494","157940.185256967","231560.853753496","260412.996236298","225022.398771095","240887.303984547","235576.177947137","152958.624840295","169195.889398469","170197.725991346","235592.785347735","181132.09323313","219872.606752832","184652.607325975","218928.017591138","226504.271430301","234989.143822983"
"M83T4","163927.372595636","144731.281844036","171202.020797595","171777.84534756","115307.916410641","154520.394156615","92010.9145294596","161645.229720258","137173.469909006","127606.43735308","128652.862067857","150498.085730106","140855.015464365","147247.037149535","129807.301859566","135911.895225434","95162.3595975195","101129.068690971","136583.004751667","98158.2695304608"
"M185T3","487008.461713453","464920.221611005","312363.299022397","345115.399839557","553634.498531175","422493.4148532","448429.690074639","552332.443518172","603275.229148231","349111.209512363","407579.967032372","550207.998759941","435787.734140225","387931.275592203","658827.849824056","634745.530680908","640838.817782466","559080.144679768","534527.364566455","401526.038761752"
"M227T2","647974.214395823","635024.444157747","306406.886270282","343267.154359422","770931.258978873","611609.182157315","535581.336360345","738506.885913725","811512.631453835","765873.426116733","947215.769671828","870565.039749196","841375.882469277","757268.475002313","815364.475557297","16209.3961408966","1227729.42915477","612379.05853424","838337.104070705","784809.216686108"
